_id,name,description,difficultyLevel,duration,bestTimeToDo,labels[0].id,notes,createdAt,updatedAt
68f449db5ddb2890d78480c8,Scuba Diving,"Discover the vibrant underwater world of the Andamans with a guided scuba dive at coral reefs around Port Blair. Encounter colorful fish, sea turtles, and coral gardens in crystal-clear waters, making it a must-do adventure for both beginners and enthusiasts.",,,October to April,68e5e54021c4af9b4a754986,"State: Andaman and Nicobar Islands, City: Port Blair",2025-10-19T02:15:55.815Z,2025-10-19T02:15:55.815Z
68f449db5ddb2890d78480c9,Semi-Submarine Reef Cruise,Embark on a semi-submarine cruise from Port Blair and view coral reefs through large underwater windows. It’s a mesmerizing way to witness marine life without getting wet — perfect for families and non-swimmers.,,,October to April,68e5e54021c4af9b4a754987,"State: Andaman and Nicobar Islands, City: Havelock Island (Swaraj Dweep)",2025-10-19T02:15:55.815Z,2025-10-19T02:15:55.815Z
68f449db5ddb2890d78480ca,Glass-Bottom Boat Ride,"Enjoy a glass-bottom boat ride around Port Blair’s clear waters, offering a window into the mesmerizing world of corals and colorful fish. It’s an ideal family-friendly marine adventure for all ages.",,,October to May,68e5e54021c4af9b4a754987,"State: Andaman and Nicobar Islands, City: Neil Island (Shaheed Dweep)",2025-10-19T02:15:55.815Z,2025-10-19T02:15:55.815Z
68f449db5ddb2890d78480cb,Dolphin Glass-Bottom Cruise,Enjoy a scenic marine cruise from Port Blair with opportunities to spot playful dolphins and view coral reefs through glass panels. It’s a relaxing blend of sightseeing and ocean discovery.,,,October to April,68e5e54021c4af9b4a754987,"State: Andaman and Nicobar Islands, City: Diglipur",2025-10-19T02:15:55.815Z,2025-10-19T02:15:55.815Z
68f449db5ddb2890d78480cc,Game Fishing Excursion,Enjoy a thrilling fishing adventure from Diglipur’s serene coastline. Venture into the open sea with expert guidance to catch tropical species while soaking in views of untouched island beauty.,,,November to March,68d90c36fc0c58520c6cf20d,"State: Andaman and Nicobar Islands, City: Rangat",2025-10-19T02:15:55.815Z,2025-10-19T02:15:55.815Z
68f44ae7e7a0fc520030fb69,Snorkeling at North Bay,"Enjoy snorkeling at North Bay Island near Port Blair, where shallow reefs reveal vibrant coral gardens and tropical fish. The easy access and guided sessions make it one of the most popular marine experiences in the region.",,,October to May,68d90c36fc0c58520c6cf20d,"State: Andaman and Nicobar Islands, City: Port Blair",2025-10-19T02:20:23.499Z,2025-10-19T02:20:23.499Z
68f44ae7e7a0fc520030fb6a,Scuba Diving,"Experience serene underwater exploration at Neil Island, known for its calm waters and vibrant reefs. Guided dives reveal a magical world of tropical fish and coral formations in a peaceful island setting.",,,October to April,68d90c36fc0c58520c6cf20d,"State: Andaman and Nicobar Islands, City: Neil Island (Shaheed Dweep)",2025-10-19T02:20:23.499Z,2025-10-19T02:20:23.499Z
68f44ae7e7a0fc520030fb6b,Jet Ski & Bumper Ride,Feel the rush of adrenaline with jet ski and bumper rides along Port Blair’s scenic beaches. These short but thrilling sessions are perfect for adding a dose of fun to your coastal getaway.,,,October to May,68d90c36fc0c58520c6cf20d,"State: Andaman and Nicobar Islands, City: Port Blair",2025-10-19T02:20:23.499Z,2025-10-19T02:20:23.499Z
68f44ae7e7a0fc520030fb6c,Yoga Retreat,Find inner peace through yoga and meditation on Neil Island’s tranquil beaches. Guided sessions offer a blend of physical wellness and island serenity in a rejuvenating natural setting.,,,November to March,68f1c03170888f8a3ddf2efc,"State: Andaman and Nicobar Islands, City: Neil Island (Shaheed Dweep)",2025-10-19T02:20:23.499Z,2025-10-19T02:20:23.499Z
68f44ae7e7a0fc520030fb6d,Snorkeling at Elephant Beach,"Float above stunning coral reefs at Elephant Beach, where clear waters and colorful marine life make snorkeling a joy. With simple gear and calm waves, it’s an ideal experience for families and first-timers.",,,October to May,68d90c36fc0c58520c6cf20d,"State: Andaman and Nicobar Islands, City: Havelock Island (Swaraj Dweep)",2025-10-19T02:20:23.499Z,2025-10-19T02:20:23.499Z
